ShopName,ShopAddress
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"G17, GROUND FLOOR, EAST WING, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR."
BERJAYA TIMES SQUARE EXPERIENCE CENTRE,"NO. 1-10, LEVEL 1, BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI, 55100 KUALA LUMPUR."
"U MOBILE SERVICE CENTRE, AEON AU2 SHOPPING CENTRE","G11, AEON AU2 SHOPPING CENTRE, NO 6, JALAN TAMAN SETIA WANGSA, AU2, BANDAR BARU AMPANG, MUKIM ULU KELANG, 54200 KUALA LUMPUR"
"U MOBILE SERVICE CENTRE, BUKIT TINGGI, KLANG","B-G-10, GROUND FLOOR, BBT ONE, LEBUH BATU NILAM 2, BANDAR BUKIT TINGGI,41200 KLANG, SELANGOR."
"U MOBILE SERVICE CENTRE, SUNWAY PYRAMID","LOT F1.26, 1ST FLOOR, SUNWAY PYRAMID, NO. 3, JALAN PJS 11/15, BANDAR SUNWAY, 46150 PETALING JAYA, SELANGOR."
"U MOBILE SERVICE CENTRE, 1 UTAMA SHOPPING CENTRE","LG313C, 1UTAMA SHOPPING CENTRE (NEW WING), 1, PERSIARAN BANDAR UTAMA, BANDAR UTAMA, 47100 PETALING JAYA, SELANGOR."
"U MOBILE SERVICE CENTRE, QUEENSBAY MALL","2F- 33A & 35 (2ND FLOOR), QUEENSBAY MALL, 100, PERSIARAN BAYAN INDAH, BAYAN LEPAS, 11900, PULAU PINANG."
"U MOBILE SERVICE CENTRE, SEBERANG JAYA","NO. 50, GROUND FLOOR, JALAN TODAK 2, 13700 SEBERANG JAYA, PULAU PINANG."
"U MOBILE SERVICE CENTRE, MELAKA","NO. 3, GROUND FLOOR, JALAN MERDEKA, TAMAN MELAKA RAYA, 75250 MELAKA."
"U MOBILE SERVICE CENTRE, SEREMBAN","GROUND FLOOR, NO. 135-1, JALAN TUN DR. ISMAIL, 70200 SEREMBAN, NEGERI SEMBILAN"
"U MOBILE SERVICE CENTRE, TAMAN MOLEK, JOHOR BAHRU","GROUND FLOOR, NO. 73, JALAN MOLEK 1/29, TAMAN MOLEK, 81100 JOHOR BAHRU, JOHOR."
"U MOBILE SERVICE CENTRE, IPOH PARADE MALL","S36, 2ND FLOOR, IPOH PARADE MALL, 105, JALAN SULTAN ABDUL JALIL, 30450 IPOH, PERAK."
AMG WORLD SDN BHD,"LOT L1-33A, LEVEL 1 SETIA CITY MALL, NO 7, PERSIARAN SETIA DAGANG, BANDAR SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM, SELANGOR"
AMG WORLD SDN BHD (S2),"LOT S25, SECOND FLOOR, NO 1, PERSIARAN BATU NILAM, 41200 KLANG, SELANGOR"
AUDIO GROUP COMMUNICATION SDN. BHD.,"SPECTRUM SHOPPING MALL, G-01-B, GROUND FLOOR 68000 AMPANG SELANGOR"
CELLULAR WAN COMMUNICATION SDN BHD,"BAZAAR RAKYAT LOT 8&9, JALAN MEDAN NIAGA, MEDAN NIAGA KUALA SELANGOR 45000 KUALA SELANGOR SELANGOR"
CKD MOBILE SDN BHD,"GIANT HYPERMARKET SERI KEMBANGAN LOT F27, GIANT HYPERMARKET SERI KEMBANGAN, JALAN PUTRA PERMAI, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR"
CKD MOBILE SDN BHD (S2),"AEON TAMAN EQUINE SHOPPING CENTRE LOT LG-16, LOWER GROUND FLOOR, JALAN EQUINE, TAMAN EQUINE, BANDAR PUTRA PERMAI, 43300 SERI KEMBANGAN, SELANGOR"
FIRST ONE MOBILE SDN BHD,"P14,TESCO MUTIARA DAMANSARA, 47800 PETALING JAYA SELANGOR"
FIRST ONE MOBILE SDN BHD (S2),PAVILION KUALA LUMPUR LOT: TL1.100.00 LEVEL 1 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN
FIRST ONE MOBILE SDN BHD (S3),"LOT 3-43,SUNWAY VELOCITY MALL, 55100 KUALA LUMPUR WILAYAH PERSEKUTUAN"
FIRST ONE MOBILE SDN BHD (S4),"LOT L2-74, LEVEL 2 ARRIVALS, GATEWAY@KLIA2, TERMINAL KLIA2, 64000, KLIA ,SELANGOR"
I LINK MOBILE SDN BHD,"LOT S38 2ND FLOOR,KL FESTIVAL CITY, 67 JALAN TAMAN IBU KOTA 53300 KUALA LUMPUR"
I LINK MOBILE SDN BHD (S2),"LOT NO T2C-01A& 01B, LEVEL 4, SKY AVENUE GENTING HIGHLANDS 69000 PAHANG"
INFINITY ONE MARKETING SDN BHD,"NO 39 JALAN MANIS 3, TAMAN SEGAR, 56100 KUALA LUMPUR."
INFINITY ONE MARKETING SDN BHD (S2),"GROUND FLOOR, 65 JALAN USJ 10/1A, 47620 SUBANG JAYA, SELANGOR"
LZX TELECOMMUNICATION SDN. BHD.,"LOT NO 1F-39, 1ST FLOOR, PARADIGM MALL, 47301 PETALING JAYA, SELANGOR"
MCOM DISTRIBUTION SDN. BHD.,"NO. 19-G JLN MERANTI 1A SEKSYEN 3 BANDAR UTAMA, 44300 BATANG KALI, SELANGOR"
META SUCCESS SDN BHD,"10K, 10J, JALAN SS6/12, KELANA JAYA, 47301 PETALING JAYA, SELANGOR"
META SUCCESS SDN BHD (S2),"NSK KOTA DAMANSARA, LOT F19, NO1, JALAN KENYALANG 11/1, SEKSYEN 11, KOTA DAMANSARA, PJU 5, 47810 PETALING JAYA, SELANGOR"
SNE NETWORK SDN BHD,"NO.12G, JALAN SG 1/2, TAMAN SERI GOMBAK, 68100 BATU CAVES, SELANGOR."
U TOP UP SDN BHD,"NO. 21-E,JALAN MAHSURI, 45300 SUNGAI BESAR, SELANGOR"
U ZON SDN BHD,"56, JALAN BRP 1/2, BUKIT RAHMAN PUTRA, 47000 SG BULOH, SELANGOR"
U ZON SDN BHD (S2),"GF-17, JALAN METRO PERDANA BARAT 1, TAMAN USAHAWAN KEPONG UTARA, KL."
YEWNIC FIRST MARKETING SDN BHD,"LOT 1-05A, WANGSA WALK MALL, WANGSA AVENUE 9, JALAN WANGSA PERDANA 1, 53300 KUALA LUMPUR."
IAZZ SURIA COMMUNICATION SDN BHD,"PT 14631, JALAN LEBAI SARAS KCP KEMAMAN, CHUKAI, 24000 KEMAMAN, TERENGGANU."
IAZZ SURIA COMMUNICATION SDN BHD (S2),"B38, GROUND FLOOR, JALAN KURNIA JAYA 3, 25150 KUANTAN PAHANG"
K & Y MOBILE SDN BHD,"LOT 3928, TINGKAT BAWAH, JALAN AIR JERNIH, 20100 KUALA TERENGGANU, TERENGGANU"
KUSZAI COMMUNICATION SDN BHD,"PT18082-GF 10021 JALAN BESAR SURA GATE, 23000 DUNGUN, TERENGGANU"
KUSZAI COMMUNICATION SDN BHD (S2),"PT 35403-1, DATARAN AUSTIN, JALAN GONG BADAK, KAMPUNG WAKAF TEMBESU 21300 KUALA TERENGGANU TERENGGANU"
SECOND STATION SDN BHD,"3.23 TINGKAT 3, KB MALL, JALAN HAMZAH,15050 KOTA BHARU, KELANTAN"
SECOND STATION SDN BHD (S2),"PT 658, SEKSYEN 27, JALAN SRI CEMERLANG, 15000 KOTA BHARU, KELANTAN"
U ZON SDN BHD (S3),"NO. 3, GROUND FLOOR, JALAN SUDIRMAN, 28000, TEMERLOH, PAHANG"
YES DC SDN BHD,"G41, GROUND FLOOR, KUANTAN PARADE,JALAN HAJI ABDUL RAHMAN,25000, KUANTAN, PAHANG"
YES DC SDN BHD (S2),"A37, GROUND FLOOR, JALAN TUN ISMAIL 1, KUANTAN PERDANA, 25000 KUANTAN PAHANG"
TYFONG BROADBAND HOUSE SDN BHD (S4),"PT 633, (GROUND FLOOR), KOMPLEKS PERNIAGAAN HUMAIRAH, PUSAT BANDAR TANAH MERAH, KELANTAN"
MEGA TELECOMMUNICATIONS NETWORK MKTG S/B,"UNIT 5/G6, GROUND FLOOR, API API CENTRE, JLN CENTRE POINT, 88100 KOTA KINABALU, SABAH"
METRO MEGATECH SDN. BHD.,"LOT 2379, JALAN BOULEVARD COMMERCIAL CENTRE 98000 MIRI SARAWAK"
METRO MEGATECH SDN. BHD. (S2),"GROUND FLOOR, LOT 2593, CENTRAL PARK, ROCK ROAD, KUCHING, SARAWAK. 93200 KUCHING SARAWAK"
EASY LINE INTERNATIONAL SDN. BHD.,"SUBLOT 10 (LOT5318), DESA ILMU PHASE 25, JALAN DATUK MOHD MUSA, 94300 KOTA SAMARAHAN, SARAWAK."
ARISTO CZM SDN BHD,"GF LOT19,LEBUH SIBC BANDAR SERI ISKANDAR, 32610, BANDAR SERI ISKANDAR, PERAK"
C N T TELECOMMUNICATION SDN BHD,"LOT NO F21, FIRST FLOOR, C/O TESCO MANJUNG, LOT 16051 MUKIM SETIAWAN, 32040 DAERAH MANJUNG, PERAK"
C N T TELECOMMUNICATION SDN BHD (S2),"NO.116,JLN BALDWIN 3,BALDWIN BUSINESS CENTER, 35000 TAPAH, PERAK."
DTS MOBILITY SDN BHD,"131-G, PT 641 DENAI INTAN, BANDAR BARU, 36000 TELUK INTAN, PERAK"
HI TECH FUTURE TECHNOLOGY ENTERPRISE S/B,"LOT G-33, GROUND FLOOR, TAIPING SENTRAL MALL, JALAN ISTANA LARUT, 34000 TAIPING, PERAK"
HI TECH FUTURE TECHNOLOGY ENTERPRISE S/B (S2),"LOT 2-17, SECOND FLOOR, 1ST AVENUE, 182, JALAN MAGAZINE 10300 PULAU PINANG PULAU PINANG"
HYPER MOBILE SDN BHD,"G28, TESCO EXTRA SEBERANG PRAI, NO 2762, PERSIARAN SEMBILANG, 13700, SEBERANG JAYA, PULAU PINANG"
IDEKA MAJU SDN BHD,"LOT G-41, GROUND FLOOR, JITRA MALL, 06000 JITRA, KEDAH"
NEW MOBILE TECHNOLOGY SDN BHD,"29, GROUND FLOOR, PERSIARAN GREENTOWN 7, GREENTOWN BUSINESS CENTRE, 30450, IPOH, PERAK"
NEW MOBILE TECHNOLOGY SDN BHD (S2),"LOT F21, AEON MALL KINTA CITY SHOPPING CENTRE, JALAN TEH LEAN SWEE, 31400, IPOH, PERAK"
NEW MOBILE TECHNOLOGY SDN. BHD. (S3),"ARAS 1, LOT NO 5, TAMAN PERTIWI INDAH, SERIAB 1000 KANGAR PERLIS"
SIXTY EIGHT DISTRIBUTION SDN BHD,"G41, G FLOOR 2323 TESCO BKT MERTAJAM, JALAN ROZHAN, 14000 BUKIT MERTAJAM, PULAU PINANG"
SMART2U WORLD SDN BHD,"MYDIN MALL BUKIT MERTAJAM, LOT S-03, MUKIM 06, JALAN BARU, DAERAH SEBERANG PERAI TENGAH, 14000, PULAU PINANG"
SMART2U WORLD SDN BHD (S2),"LOT 1F-37, 1ST FLOOR KULIM CENTRAL SHOPPING CENTRE,NO 1 JALAN KLC SATU 9000 KULIM KEDAH"
U INSTANT COMMUNICATION SDN BHD,"LOT G.09, GROUND FLOOR, RAPID MALL SERI INTAN 36000 TELUK INTAN PERAK"
U NETWORK MOBILE CENTRE SDN. BHD.,"LOT F-09, 1ST FLOOR, SUNSHINE FARLIM MALL, 294 JALAN THEAN TEIK 11500 AYER ITAM PULAU PINANG"
UMB NETWORK SDN. BHD.,"NO. 41, JALAN PANGGUNG WAYANG 35500 BIDOR PERAK"
USUN CENTRE SDN BHD,"LOT 4-03, AMAN CENTRAL, NO1, LEBUHRAYA DARUL AMAN,ALOR SETAR 5100 ALOR SETAR KEDAH"
USUN CENTRE SDN BHD (S2),"NO 425-D, GROUND FLOOR, JALAN BURMAH, 10350 PULAU TIKUS, PULAU PINANG"
USUN CENTRE SDN BHD (S3),"LOT NO 2A, GROUND FLOOR, AMAN JAYA MALL, 08000, SUNGAI PETANI, KEDAH"
VICOMM MOBILE SDN BHD,"7110, TAMAN AMAN JAYA, JALAN RAJA UDA, 12300 BUTTERWORTH, PULAU PINANG"
YEAN MOBILE NETWORK SDN BHD,"NO 15B, TAMAN SENTOSA, JALAN LUMUT, 32000, SETIAWAN, PERAK"
YEAN MOBILE NETWORK SDN BHD (S2),"17, JALAN SERI SENTOSA 1, 32400 AYER TAWAR PERAK"
YOUR MOBILE ENTERPRISE SDN BHD,"NO 11, JALAN DAENG SELILI, 33000 KUALA KANGSAR, PERAK"
101 BUSINESS SOLUTION SDN BHD,"LOT 21-B, 1ST FLOOR, SEREMBAN GATEWAY, OFF JALAN SUNGAI UJONG, 70200 SEREMBAN NEGERI SEMBILAN"
BROADBAND JUNCTION SDN BHD,"59, JALAN SUTERA TANJUNG 8/2, TAMAN SUTERA UTAMA ,81300 SKUDAI , JOHOR"
BROADBAND JUNCTION SDN BHD (S2),"NO 5, JALAN BUKIT INDAH 16/12, 79100 NUSAJAYA, JOHOR"
BROADBAND JUNCTION SDN BHD (S3),"NO 19, JALAN DEDAP 4, 81100 JOHOR BHARU, JOHOR"
BROADBAND JUNCTION SDN BHD (S4),"S 39, AEON BANDAR MELAKA, NO. 2, JALAN LAGENDA, TAMAN LAGENDA, 75400 MELAKA"
BROADBAND JUNCTION SDN BHD (S5),"GROUND FLOOR OF NO.83, JALAN TUN ISMAIL, 25000 KUANTAN, PAHANG"
CL PD TELECOMMUNICATION SDN BHD,"NO. 9-G, PD WATERFRONT, JALAN WATERFRONT 2, 71000 PORT DICKSON, NEGERI SEMBILAN."
CM COM SDN BHD,"14 (GROUND FLOOR), JALAN KONG SANG, 70000 SEREMEBAN, NEGERI SEREMBAN."
EXCEL ADVANTECH SDN BHD,"NO. 65, JALAN AUSTIN HEIGHTS 3, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR"
EXCEL ADVANTECH SDN BHD (S2),"NO 19, JALAN PERMAS 10, 81750, MASAI, JOHOR"
EXCEL ADVANTECH SDN BHD (S3),"NO 75, JALAN SUTERA, TAMAN SENTOSA, 80150, JOHOR BHARU, JOHOR"
FIRST MOBILE WORLD SDN BHD,"NO 57-2,JALAN RAMBUTAN, 86000 KLUANG, JOHOR."
FIRST MOBILE WORLD SDN BHD (S2),"NO 25B, JALAN DATO TAN SENG LEONG, 86000 KLUANG, JOHOR"
FIRST MOMENT COMMUNICATION SDN BHD,"36 JALAN KUNDANG, TAMAN BUKIT PASIR, 83000 BATU PAHAT, JOHOR"
FIRST MOMENT COMMUNICATION SDN BHD (S2),"G08, GROUND FLOOR, BATU PAHAT MALL, 83000 BATU PAHAT, JOHOR."
HP NINETY SIX (M) SDN BHD,"NO 29-G, JALAN BPS 3,BANDAR PRIMA SENAWANG, 70450 SEREMBAN, NEGERI SEMBILAN"
I LOVE BROADBAND SERVICE CENTRE S/B (S2),"BLOCK 06, UNIT G-36, DANGA BAY, 80200, JOHOR BHARU, JOHOR"
I LOVE BROADBAND SERVICE CENTRE SDN BHD,"10, JALAN MOLEK 1/12, TAMAN MOLEK, 81100 JOHOR BAHRU, JOHOR"
I LOVE U MOBILE SDN BHD,"9,JALAN SUSUR DEWATA 1, TAMAN LARKIN PERDANA,80350,JOHOR BAHRU JOHOR"
I LOVE U MOBILE SDN BHD (S2),"NO 23, JALAN NIAGA, 81900 KOTA TINGGI, JOHOR"
IP LINK SOLUTION SDN BHD,"LOT NO R147, GIANT HYPERMARKET PLENTONG, 81750 MASAI, JOHOR"
K & C MOBILE STORE SDN BHD,"102, JALAN BUKIT KEMPAS 1/18, TAMAN BUKIT KEMPAS, 81300 JOHOR BHARU, JOHOR"
MLAB COMMUNICATION SDN BHD,"97-2, JALAN RAHMAT, 83000 BATU PAHAT JOHOR"
MLAB COMMUNICATION SDN BHD (S2),"LOT G5, LEVEL 1, SQUARE ONE MALL, 83000 BATU PAHAT, JOHOR"
NMR MOBILE SDN BHD,"10-G, BLOCK A, JALAN PDS1, 71050 SI RUSA, NEGERI SEMBILAN"
ONE STAND FOUR NETWORK SDN BHD,"L3-654, SUTERA MALL, NO 1, JALAN SUTERA TANJUNG 8/4, TAMAN SUTERA UTAMA, 81300 SEKUDAI, JOHOR"
ONE STAND FOUR NETWORK SDN BHD (S2),"NO.20,JALAN NAHKODA 12,TMN UNGKU TUN AMINAH, 81300, JOHOR BHARU, JOHOR"
PHENION TECHNO SDN BHD,"45-5,JALAN BAKRI,84000 MUAR, JOHOR"
PHENION TECHNO SDN BHD (S2),"NO. 9 (GROUND FLOOR) JALAN MELAKA BARU 22, TAMAN MELAKA BARU BATU BERENDAM 75350 MELAKA"
PUSAT TELEKOMUNIKASI EIJI SDN BHD,"NO 215, JALAN KENANGA 29/2,TAMAN INDAHPURA, 81000 KULAI JOHOR."
PUSAT TELEKOMUNIKASI EIJI SDN BHD (S2),"NO 893, JALAN BAKEK, 82000 PONTIAN, JOHOR"
PW TWO MOBILE SDN. BHD,"LOT 7, PT 4308, GROUND FLOOR, JALAN SEREMBAN, LUKUT BUSINESS CENTRE, 71010 PORT DICKSON NEGERI SEMBILAN"
SERGIO MOBILE SDN BHD,"LOT F-09, FIRST FLOOR MYDIN, HYPERMARKET SEREMBAN S2, LOT 31156, PERSIARAN S2 B7, 70300 SEREMBAN, NEGERI SEMBILAN"
SERGIO MOBILE SDN BHD (S2),"NO. 124, UNIT A, GROUND FLOOR, JALAN MEWAH 72100 BAHAU NEGERI SEMBILAN"
SK MOBILE SDN BHD,"NO 86, JALAN ALI, 84000 MUAR, JOHOR"
TP COMMUNICATION SDN BHD,"NO 4, JALAN HAJI MANAN,86000 KLUANG, JOHOR"
TP COMMUNICATION SDN BHD (S2),"NO. 32, JALAN KIJANG, TAMAN MOHD YASSIN 86200 SIMPANG RENGAM JOHOR"
TWINKLE STAR COMMUNICATION SDN BHD,"NO 114,JALAN SIA HER YAM,85000 SEGAMAT, JOHOR."
TWINKLE STAR COMMUNICATION SDN BHD (S2),"F13A,FIRST FLOOR, 1 SEGAMAT SHOPPING COMPLEX, 85000, SEGAMAT, JOHOR"
TYFONG BROADBAND HOUSE SDN BHD,"84, JALAN GAYA 1, TAMAN GAYA, ULU TIRAM, 81800 MASAI, JOHOR"
TYFONG BROADBAND HOUSE SDN BHD (S2),"60, JALAN PINANG 52, 81100 JOHOR BHARU, JOHOR"
TYFONG BROADBAND HOUSE SDN BHD (S3),"19, JALAN KEBADAYAAN, 81300 JOHOR BHARU, JOHOR"
ZS NETWORK SDN BHD,"122, JALAN SURIA 2, TAMAN MALIM JAYA, 75250 MELAKA"
FIRST MOMENT COMMUNICATION SDN BHD (S3),"NO. KM20-1 (GROUND FLOOR) JALAN PERNIAGAAN JELATANG, PUSAT PERNIAGAAN JELATANG, 78000, ALOR GAJAH MELAKA"
GLOBAL TONE SDN BHD,"NO. 5, JALAN MOLEK 1/9, TAMAN MOLEK, 81100 JOHOR BAHRU JOHOR"
AMATEUR SUCCESS MARKETING SDN BHD,"NO 17G, JALAN RAJA HAROUN, 43000 KAJANG, SELANGOR"
AMATEUR SUCCESS MARKETING SDN BHD (S2),"MYDIN MALL SEMENYIH, LOT F-02, FIRST FLOOR, JALAN ANGGERIK PERDANA 1, 43500 SEMENYIH, SELANGOR"
U MAX STATION SDN BHD,"B-13, GIANT HYPERMARKET BATU CAVES, LOT 10243, JALAN BATU CAVES, DAERAH GOMBAK, 68100, BATU CAVES, SELANGOR"
DICEL MOBILE SDN BHD,"PT 174, GROUND FLOOR JALAN HOSPITAL, TANAH MERAH, 17500 KELANTAN"
DICEL MOBILE SDN BHD (S2),"LOT 3287 BANDAR UTAMA, 18300 GUA MUSANG, KELANTAN"
PC PLATINUM COMPUTER SALES AND SERVICES,"1 GROUND FLOOR, JALAN PUTRA 1, TAMAN PUTRA DENGKIL, 43800 SELANGOR"
DY MOBILE TRADING,"LOT 93-10 DAN 93-11, JALAN BESAR, SUNGAI PELEK, SEPANG, 43950 SELANGOR"
CCL COMM. AND COMPUTER SERVICES CENTRE,"NO.158B, JALAN BESAR 42800 TANJUNG SEPAT SELANGOR"
LTE PLUS MOBILE,TESCO JENJAROM LOT G15 NO1 JALAN 1/1 TMN SERI JENJAROM 42600 JENJAROM KLANG SELANGOR
I FIX TECHNOLOGY,"NO 7,JALAN ASTANA D13/D,PUSAT NIAGA ASTANA ALAM SEKSYEN 13 42300 BANDAR PUNCAK ALAM SELANGOR"
HALO COMMUNICATION,"51, JALAN MENTERI BESAR SATU, SEKINCHAN BUSINESS CENTRE"
PASARAN EKONOMI MAJU JAYA,"73, JLN PEKAN PARIT BARU"
SMART LINK COMMUNICATION SALES & SERVICE,"NO 20A, JLN BERJUNTAI 1, PUSAT PERNIAGAAN BATANG BERJUNTAI"
JET Q MOBILE,"PT 4621, BANDAR GEMAS, 73400 NEGERI SEMBILAN"
URBON PHONE TRADING,"NO 11 JALAN BESAR TAMPIN, 73000 NEGERI SEMBILAN"
GIFTED COMMUNICATION,"NO. 8B, LUNDU BAZAAR,94500 LUNDU"
LARRY ENTERPRISE,"NO.8 SERIAN BAZAAR, 94700 SERIAN"
FIRST MOBILE SERVICES CENTRE,"NO. 10G, TKT BAWAH, JLN SG. MERAH, 96000 SIBU"
123 TRADING CO.,"S26, GR. FLOOR, E-MART COMMERCIAL CENTRE, PHASE 1, MIRI"
YY COMMUNICATION SDN BHD,"A019,1ST FLOOR, FINANCIAL PARK COMPLEX LABUAN"
CHEN COMPUTER DAN HANDPHONE SALE SERVICE,"BLOK B,LOT NO.4,TINGKAT BAWAH,KOMPLEKS SRI RANGAN"
SK IT MOBILE,"TB.11,LOT 11, MUHIBBAH SQUARE, JALAN MUHIBBAH, 91000 TAWAU, SABAH"
LIM MOBILE SHOP,"LOT 126, CENTRE POINT, 91100 LAHAD DATU"
SYARIKAT WELLCOM,"LOT 16B BLOK 4 TINGKAT BAWAH, 90000 SANDAKAN"
TELEPOST,"LOT 99 BLOK D4, TINGKAT BAWAH UTAMA PLACE 6&7, JALAN UTARA 90000 SANDAKAN."
VISION COM SALES & SERVICES,"MDLD 3322,GRD FLR,FAJAR CENTRE, 91120 LAHAD DATU, SABAH."
CITY PHONE CARE,"LOT 108 A, JALAN CHIN HWA, 18000 KUALA KRAI, KELANTAN"
YOU STORE ENTERPRISE,"15, JALAN BESAR, 17000 PASIR MAS, KELANTAN"
MUHIBAHFON,"261-B DEPAN PASAR, 16800 PASIR PUTEH, KELANTAN"
PANDAREE COMMUNICATION,"PT 642 KOMPLEKS PERNIAGAAN HUMAIRA JALAN HUMAIRA, 17500 TANAH MERAH, KELANTAN"
GM GADGETS,"63 JALAN PEKAN LAMA, 18300 GUA MUSANG, KELANTAN"
RING RING COM TELECOMMUNICATION,"PT 334, BANGUNAN MCA, JALAN PADANG, 18500 MACHANG, KELANTAN"
E.Q COMMUNICATION ENTERPRISE,"LOT 315 JALAN BUKIT MOK MEK, 22000 JERETEH, TERENGGANU"
AZ BROADBAND SOLUTIONS,"NO.9, JALAN DATUK BAHAMAN 3 28000 TEMERLOH PAHANG"
BONACO ENTERPRISE,"NO.3 BAWAH BANGUNAN 36 UNIT, 26400 PUSAT JENGKA PAHANG"
JJCOM TRADING,"21B, JALAN DATO ABDULLAH 27600 RAUB PAHANG"
HELLO PHONE SHOP,"LOT69, JALAN ENGKU MUDA MANSOR 26600 PEKAN PAHANG"
